customer_state,revenue,orders,customers
SP,5770266.19,40501,40501
RJ,2055690.45,12350,12350
MG,1819277.61,11354,11354
RS,861802.4,5345,5345
PR,781919.55,4923,4923
SC,595208.4,3546,3546
BA,591270.6,3256,3256
DF,346146.17,2080,2080
GO,334294.22,1957,1957
ES,317682.65,1995,1995
PE,309074.59,1593,1593
CE,266463.97,1279,1279
PA,212027.55,946,946
MT,181441.72,886,886
MA,147807.29,717,717
PB,137834.65,517,517
MS,134421.54,701,701
PI,105272.17,476,476
RN,100728.3,474,474
AL,94195.79,397,397
SE,70289.13,335,335
TO,60007.37,274,274
RO,56975.7,243,243
AM,27596.18,145,145
AC,19586.25,80,80
AP,16141.81,67,67
RR,9039.52,41,41
